"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"349";431595;2015;"MUNICIPIO";19;0;0;19;0;7;3;8;1;0;9;10;1;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"350";431600;2015;"MUNICIPIO";166;0;0;161;5;43;26;71;24;2;92;74;7;NA;2;2;0;164;NA;2;0;0;0;0
"351";431610;2015;"MUNICIPIO";63;0;0;60;3;22;5;25;11;0;37;26;3;NA;1;1;0;62;NA;1;0;0;0;0
"352";431620;2015;"MUNICIPIO";48;0;0;48;0;11;8;22;6;1;26;22;1;NA;NA;NA;NA;48;NA;NA;NA;NA;NA;NA
"353";431630;2015;"MUNICIPIO";62;0;0;62;0;18;8;27;9;0;37;25;1;NA;1;1;0;61;NA;1;0;0;0;0
"354";431640;2015;"MUNICIPIO";364;0;0;360;4;100;48;149;54;13;193;171;9;NA;4;4;0;360;NA;4;0;0;0;0
"355";431642;2015;"MUNICIPIO";18;0;0;17;1;3;3;11;1;0;13;5;1;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"356";431643;2015;"MUNICIPIO";27;0;0;27;0;6;4;9;8;0;14;13;NA;NA;NA;NA;NA;27;NA;NA;NA;NA;NA;NA
"357";431645;2015;"MUNICIPIO";84;0;0;82;2;30;15;30;8;1;56;28;5;NA;2;2;0;82;NA;1;0;1;0;0
"358";431647;2015;"MUNICIPIO";19;0;0;17;2;2;3;11;3;0;15;4;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"359";431650;2015;"MUNICIPIO";39;0;0;39;0;10;3;18;8;0;24;15;NA;NA;NA;NA;NA;39;NA;NA;NA;NA;NA;NA
"360";431660;2015;"MUNICIPIO";130;0;0;130;0;32;17;54;27;0;71;59;3;NA;NA;NA;NA;130;NA;NA;NA;NA;NA;NA
"361";431670;2015;"MUNICIPIO";74;0;0;73;1;18;4;36;14;2;48;26;2;NA;1;1;0;73;NA;1;0;0;0;0
"362";431673;2015;"MUNICIPIO";10;0;0;9;1;3;3;4;0;0;7;3;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA
"363";431675;2015;"MUNICIPIO";39;0;0;38;1;15;2;19;3;0;20;19;NA;NA;1;1;0;38;NA;0;0;0;0;0
"364";431680;2015;"MUNICIPIO";906;0;0;894;12;310;126;358;91;21;473;433;42;NA;7;7;0;898;NA;6;0;1;0;0
"365";431690;2015;"MUNICIPIO";1962;0;0;1923;39;591;236;861;223;51;1016;946;96;3;21;20;1;1939;3;19;1;1;0;0
"366";431695;2015;"MUNICIPIO";37;0;0;36;1;6;4;15;10;2;21;16;1;NA;NA;NA;NA;37;NA;NA;NA;NA;NA;NA
"367";431697;2015;"MUNICIPIO";18;0;0;18;0;3;3;8;3;1;9;9;NA;NA;1;1;0;17;NA;1;0;0;0;0
"368";431700;2015;"MUNICIPIO";69;0;0;67;2;26;7;26;10;0;32;37;1;NA;3;3;0;66;NA;1;1;0;0;0
"369";431710;2015;"MUNICIPIO";732;0;0;721;11;228;82;306;95;21;386;346;42;NA;3;3;0;729;NA;2;0;1;0;0
"370";431720;2015;"MUNICIPIO";532;0;0;524;8;146;66;238;72;10;285;247;26;NA;12;12;0;520;NA;12;0;0;0;0
"371";431725;2015;"MUNICIPIO";18;0;0;17;1;2;5;10;1;0;14;4;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"372";431730;2015;"MUNICIPIO";264;0;0;257;7;79;42;111;29;3;158;106;9;NA;1;1;0;263;NA;1;0;0;0;0
"373";431740;2015;"MUNICIPIO";397;0;0;388;9;120;47;155;67;8;198;199;10;NA;5;5;0;392;NA;5;0;0;0;0
"374";431750;2015;"MUNICIPIO";565;0;0;550;15;118;54;278;104;11;286;279;26;NA;5;5;0;560;NA;4;0;1;0;0
"375";431755;2015;"MUNICIPIO";16;0;0;16;0;7;2;4;3;0;11;5;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"376";431760;2015;"MUNICIPIO";313;0;0;306;7;87;42;136;43;5;194;119;11;NA;3;3;0;309;NA;2;0;1;0;0
"377";431770;2015;"MUNICIPIO";91;0;0;91;0;41;12;27;11;0;46;45;NA;NA;NA;NA;NA;91;NA;NA;NA;NA;NA;NA
"378";431775;2015;"MUNICIPIO";16;0;0;15;1;7;3;5;1;0;11;5;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA
"379";431780;2015;"MUNICIPIO";88;0;0;88;0;29;14;37;6;2;37;51;4;NA;2;2;0;86;NA;2;0;0;0;0
"380";431790;2015;"MUNICIPIO";101;0;0;99;2;27;8;51;15;0;45;56;3;NA;2;2;0;99;NA;2;0;0;0;0
