"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"485";432300;2015;"MUNICIPIO";1774;0;0;1700;74;431;172;903;209;59;1037;736;82;1;26;24;2;1745;1;19;1;5;0;0
"486";432310;2015;"MUNICIPIO";38;0;0;38;0;17;3;12;6;0;16;22;NA;NA;NA;NA;NA;38;NA;NA;NA;NA;NA;NA
"487";432320;2015;"MUNICIPIO";21;0;0;21;0;7;2;10;2;0;10;11;1;NA;1;1;0;20;NA;1;0;0;0;0
"488";432330;2015;"MUNICIPIO";24;0;0;22;2;3;2;13;6;0;13;11;1;NA;1;1;0;23;NA;1;0;0;0;0
"489";432335;2015;"MUNICIPIO";13;0;0;13;0;1;3;5;4;0;8;5;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA
"490";432340;2015;"MUNICIPIO";40;0;0;38;2;10;3;22;4;1;23;17;2;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA
"491";432345;2015;"MUNICIPIO";21;0;0;21;0;7;7;6;1;0;17;4;NA;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;NA
"492";432350;2015;"MUNICIPIO";14;0;0;14;0;3;3;8;0;0;6;8;NA;NA;NA;NA;NA;14;NA;NA;NA;NA;NA;NA
"493";432360;2015;"MUNICIPIO";4;0;0;4;0;1;1;1;1;0;2;2;NA;NA;NA;NA;NA;4;NA;NA;NA;NA;NA;NA
"494";432370;2015;"MUNICIPIO";21;0;0;21;0;6;3;10;2;0;9;12;2;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;NA
"495";432375;2015;"MUNICIPIO";27;0;0;27;0;11;2;11;3;0;16;11;1;1;NA;NA;NA;27;1;NA;NA;NA;NA;NA
"496";432377;2015;"MUNICIPIO";24;0;0;24;0;8;2;12;2;0;16;8;NA;NA;NA;NA;NA;24;NA;NA;NA;NA;NA;NA
"497";432380;2015;"MUNICIPIO";73;0;0;71;2;18;9;37;7;2;46;27;5;NA;1;1;0;72;NA;1;0;0;0;0
