"";"ANO";"NIVEL";"CODMUNRES";"IDHM_A";"IDHM_CA";"IDHM_CA_F";"IDHM_CA_M"
"102";2015;"MUNICIPIO";"4305207";0;0,764;0;0
"103";2015;"MUNICIPIO";"4305306";0;0,757;0;0
"104";2015;"MUNICIPIO";"4305355";0;0,747;0;0
"105";2015;"MUNICIPIO";"4305371";0;0,62;0;0
"106";2015;"MUNICIPIO";"4305405";0;0,732;0;0
"107";2015;"MUNICIPIO";"4305439";0;0,706;0;0
"108";2015;"MUNICIPIO";"4305447";0;0,616;0;0
"109";2015;"MUNICIPIO";"4305454";0;0,729;0;0
"110";2015;"MUNICIPIO";"4305504";0;0,719;0;0
"111";2015;"MUNICIPIO";"4305587";0;0,765;0;0
"112";2015;"MUNICIPIO";"4305603";0;0,758;0;0
"113";2015;"MUNICIPIO";"4305702";0;0,747;0;0
"114";2015;"MUNICIPIO";"4305801";0;0,754;0;0
"115";2015;"MUNICIPIO";"4305835";0;0,692;0;0
"116";2015;"MUNICIPIO";"4305850";0;0,746;0;0
"117";2015;"MUNICIPIO";"4305871";0;0,744;0;0
"118";2015;"MUNICIPIO";"4305900";0;0,665;0;0
"119";2015;"MUNICIPIO";"4305934";0;0,727;0;0
"120";2015;"MUNICIPIO";"4305959";0;0,741;0;0
"121";2015;"MUNICIPIO";"4305975";0;0,706;0;0
"122";2015;"MUNICIPIO";"4306007";0;0,712;0;0
"123";2015;"MUNICIPIO";"4306056";0;0,644;0;0
"124";2015;"MUNICIPIO";"4306072";0;0,66;0;0
"125";2015;"MUNICIPIO";"4306106";0;0,75;0;0
"126";2015;"MUNICIPIO";"4306130";0;0,719;0;0
"127";2015;"MUNICIPIO";"4306205";0;0,723;0;0
"128";2015;"MUNICIPIO";"4306304";0;0,762;0;0
"129";2015;"MUNICIPIO";"4306320";0;0,707;0;0
"130";2015;"MUNICIPIO";"4306353";0;0,654;0;0
"131";2015;"MUNICIPIO";"4306379";0;0,648;0;0
"132";2015;"MUNICIPIO";"4306403";0;0,743;0;0
"133";2015;"MUNICIPIO";"4306429";0;0,67;0;0
"134";2015;"MUNICIPIO";"4306452";0;0,757;0;0
"135";2015;"MUNICIPIO";"4306502";0;0,587;0;0
"136";2015;"MUNICIPIO";"4306551";0;0,708;0;0
"137";2015;"MUNICIPIO";"4306601";0;0,691;0;0
"138";2015;"MUNICIPIO";"4306700";0;0,697;0;0
"139";2015;"MUNICIPIO";"4306734";0;0,706;0;0
"140";2015;"MUNICIPIO";"4306759";0;0,724;0;0
