"";"ANO";"NIVEL";"CODMUNRES";"POPR_RA";"POPR_RE"
"106";"2015";"MUNICIPIO";"430540";"2.94";"0"
"107";"2015";"MUNICIPIO";"430543";"6.351";"0"
"108";"2015";"MUNICIPIO";"430544";"363";"0"
"109";"2015";"MUNICIPIO";"430545";"14.073";"762"
"110";"2015";"MUNICIPIO";"430550";"2.616";"0"
"111";"2015";"MUNICIPIO";"430558";"0";"0"
"112";"2015";"MUNICIPIO";"430560";"1.891";"0"
"113";"2015";"MUNICIPIO";"430570";"4.685";"0"
"114";"2015";"MUNICIPIO";"430580";"7.861";"0"
"115";"2015";"MUNICIPIO";"430583";"1.562";"0"
"116";"2015";"MUNICIPIO";"430585";"2.287";"0"
"117";"2015";"MUNICIPIO";"430587";"1.5";"0"
"118";"2015";"MUNICIPIO";"430590";"5.232";"0"
"119";"2015";"MUNICIPIO";"430593";"446";"176"
"120";"2015";"MUNICIPIO";"430595";"1.96";"0"
"121";"2015";"MUNICIPIO";"430597";"2.885";"0"
"122";"2015";"MUNICIPIO";"430600";"7.939";"0"
"123";"2015";"MUNICIPIO";"430605";"5.164";"0"
"124";"2015";"MUNICIPIO";"430607";"0";"0"
"125";"2015";"MUNICIPIO";"430610";"63.776";"10.327"
"126";"2015";"MUNICIPIO";"430613";"479";"120"
"127";"2015";"MUNICIPIO";"430620";"6.695";"0"
"128";"2015";"MUNICIPIO";"430630";"2.218";"0"
"129";"2015";"MUNICIPIO";"430632";"1.212";"0"
"130";"2015";"MUNICIPIO";"430635";"0";"0"
"131";"2015";"MUNICIPIO";"430637";"1.959";"0"
"132";"2015";"MUNICIPIO";"430640";"28.543";"3.06"
"133";"2015";"MUNICIPIO";"430642";"0";"0"
"134";"2015";"MUNICIPIO";"430645";"0";"0"
"135";"2015";"MUNICIPIO";"430650";"3.18";"0"
"136";"2015";"MUNICIPIO";"430655";"35.092";"5.051"
"137";"2015";"MUNICIPIO";"430660";"0";"0"
"138";"2015";"MUNICIPIO";"430670";"2.124";"0"
"139";"2015";"MUNICIPIO";"430673";"2.225";"0"
"140";"2015";"MUNICIPIO";"430675";"690";"150"
"141";"2015";"MUNICIPIO";"430676";"27.039";"0"
"142";"2015";"MUNICIPIO";"430680";"19.53";"0"
"143";"2015";"MUNICIPIO";"430690";"17.948";"534"
"144";"2015";"MUNICIPIO";"430692";"1.396";"0"
"145";"2015";"MUNICIPIO";"430693";"5.424";"0"
"146";"2015";"MUNICIPIO";"430695";"2.296";"0"
"147";"2015";"MUNICIPIO";"430697";"2.324";"0"
"148";"2015";"MUNICIPIO";"430700";"102.345";"0"
"149";"2015";"MUNICIPIO";"430705";"0";"0"
"150";"2015";"MUNICIPIO";"430710";"2.973";"0"
"151";"2015";"MUNICIPIO";"430720";"3.042";"0"
"152";"2015";"MUNICIPIO";"430730";"2.148";"0"
"153";"2015";"MUNICIPIO";"430740";"3.245";"0"
"154";"2015";"MUNICIPIO";"430745";"11.288";"1.593"
"155";"2015";"MUNICIPIO";"430750";"5.522";"0"
"156";"2015";"MUNICIPIO";"430755";"36.506";"1.37"
"157";"2015";"MUNICIPIO";"430760";"83.984";"4.042"
"158";"2015";"MUNICIPIO";"430770";"26.816";"0"
"159";"2015";"MUNICIPIO";"430780";"3.42";"0"
"160";"2015";"MUNICIPIO";"430781";"0";"0"
"161";"2015";"MUNICIPIO";"430783";"1.459";"0"
"162";"2015";"MUNICIPIO";"430786";"63.799";"0"
"163";"2015";"MUNICIPIO";"430790";"5.017";"4.298"
"164";"2015";"MUNICIPIO";"430800";"1.573";"0"
"165";"2015";"MUNICIPIO";"430805";"0";"0"
"166";"2015";"MUNICIPIO";"430807";"11.947";"0"
"167";"2015";"MUNICIPIO";"430810";"27.634";"0"
"168";"2015";"MUNICIPIO";"430820";"1.988";"0"
"169";"2015";"MUNICIPIO";"430825";"5.072";"0"
"170";"2015";"MUNICIPIO";"430830";"3.353";"0"
"171";"2015";"MUNICIPIO";"430840";"0";"0"
"172";"2015";"MUNICIPIO";"430843";"2.904";"0"
"173";"2015";"MUNICIPIO";"430845";"28.336";"0"
"174";"2015";"MUNICIPIO";"430850";"32.172";"4.702"
"175";"2015";"MUNICIPIO";"430860";"0";"0"
"176";"2015";"MUNICIPIO";"430865";"4.165";"0"
"177";"2015";"MUNICIPIO";"430870";"5.51";"0"
"178";"2015";"MUNICIPIO";"430880";"1.677";"0"
"179";"2015";"MUNICIPIO";"430885";"15.124";"0"
"180";"2015";"MUNICIPIO";"430890";"13.854";"0"
"181";"2015";"MUNICIPIO";"430900";"3.706";"23"
"182";"2015";"MUNICIPIO";"430905";"34.605";"9.196"
"183";"2015";"MUNICIPIO";"430910";"0";"0"
"184";"2015";"MUNICIPIO";"430912";"0";"0"
"185";"2015";"MUNICIPIO";"430915";"223.819";"69.575"
"186";"2015";"MUNICIPIO";"430920";"740";"0"
"187";"2015";"MUNICIPIO";"430925";"99.029";"3.905"
"188";"2015";"MUNICIPIO";"430930";"23.195";"0"
"189";"2015";"MUNICIPIO";"430940";"5.528";"0"
"190";"2015";"MUNICIPIO";"430950";"4.57";"0"
"191";"2015";"MUNICIPIO";"430955";"4.787";"2.865"
"192";"2015";"MUNICIPIO";"430957";"0";"0"
"193";"2015";"MUNICIPIO";"430960";"16.002";"0"
"194";"2015";"MUNICIPIO";"430965";"6.434";"3.097"
