"";"CODMUNRES";"X.x";"ANO.x";"NIVEL.x";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50";"X.y";"ANO.y";"NIVEL.y";"IDHM_A";"IDHM_CA";"IDHM_CA_M";"IDHM_CA_F";"X.x";"ANO.x";"NIVEL.x";"TN";"TNRC";"TNRCR";"TGI_15";"TGI_15_19";"TGI_20_24";"TGI_25_29";"TGI_30_34";"TGI_35_39";"TGI_40_44";"TGI_45_49";"TGI_50";"TGIF";"IM_P25";"IM_P50";"IM_P75";"IM_MD.x";"IM_DP";"EM_S";"EM_FI";"EM_FII";"EM_M";"EM_SI";"EM_SC";"TGRC_B";"TGRC_PT";"TGRC_PD";"TGRC_I";"TGRC_A";"TGCC";"TGSC";"TGNPRI";"TGPRI";"TGG";"NA.";"TGD_32_36";"TGD_37_41";"TGD_42";"TGD_28_31";"TGD_22_27";"TGD_22";"TGD_AT";"TGD_PRT";"TGD_PST";"DG_P25";"DG_P50";"DG_P75";"IM_MD.y";"DG_DP";"TKC_ID";"TKC_AD";"TKC_MAD";"TKC_IT";"TGRC_NR";"TGPRG_N";"TGPRG_S";"TPV";"TPC";"TRAP_C";"TRAP_P";"TRAP_T";"TGROB_1";"TGROB_2";"TGROB_3";"TGROB_4";"TGROB_5";"TGROB_6";"TGROB_7";"TGROB_8";"TGROB_10";"TGROB_9";"TNLOC_H";"TNLOC_O";"TNLOC_ES";"TNLOC_D";"TNLOC_AI";"TRS_M";"TRS_F";"TRRC_B";"TRRC_PT";"TRRC_PD";"TRRC_I";"TRRC_A";"TRP_BP";"TRP_N";"TRP_M";"PESO_P25";"PESO_P50";"PESO_P75";"PESO";"PESO_DP";"TRPIG_P";"TRPIG_A";"TRPIG_G";"TRAPG5_B";"TRAPG5_N";"APGAR5_MD";"APGAR5_DP";"TRSAC";"TRAC";"X.y";"ANO.y";"NIVEL.y";"TO";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A";"TO_MT";"TO_MT_DG";"TO_MT_43";"TO_MT_PT";"TO_MT_42";"TO_MT_AB";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_EM";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_ESC";"TO_MT_P_ESI";"TO_MT_P_ES";"X";"ANO";"NIVEL";"POPR_RA";"POPR_RE";"TFG";"TMG";"RMM";"TMM";"TMM_P";"TMI"
"79";"430450";80;2015;"MUNICIPIO";55801;53259;26856;26403;11023;26938;15298;5453;13097;7853;79;2015;"MUNICIPIO";0;0,65;0;0;79;2015;"MUNICIPIO";553;0;521;9;0;129;137;120;79;10;2;0;553;"22";"27";"32";"27.23";"6.57";1;61;231;191;49;19;491;29;19;1;0;345;203;252;301;553;0;52;463;22;4;2;0;463;58;22;"38";"39";"40";"27.23";"1.99";35;22;439;18;6;480;73;244;309;506;36;4;91;103;82;75;88;22;14;7;51;4;551;1;0;1;0;279;274;491;29;19;1;0;43;465;44;"2968.75";"3272.5";"3626.25";"3266.47";"551.99";42;415;78;4;545;"9.49";"0.84";541;1;79;2015;"MUNICIPIO";447;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;79;2015;"MUNICIPIO";"21.212";"17.44";42,2234099412079;8,01060912886866;3,61663652802893;15,2706726731313;0;3,61663652802893
"80";"430460";81;2015;"MUNICIPIO";341343;323827;155936;167891;72467;176707;74653;35647;90267;41977;80;2015;"MUNICIPIO";0;0,75;0;0;80;2015;"MUNICIPIO";5475;0;5332;100;0;1274;1325;1251;685;163;7;0;5475;"22";"27";"32";"27.22";"6.63";1;142;1582;2503;788;435;4594;370;511;0;0;1914;3531;2350;3125;5475;0;462;4925;6;53;28;0;4925;543;6;"38";"39";"40";"27.22";"2";1047;230;2899;280;63;3459;2016;2791;2684;5185;248;17;350;1656;476;1144;1063;105;107;141;394;17;5465;2;0;8;0;2857;2617;4594;370;511;0;0;472;4637;366;"2935";"3268";"3580";"3224.45";"584.19";278;4417;630;157;5297;"9.05";"0.86";5407;34;80;2015;"MUNICIPIO";2648;1;33;0;3;0;0;71;1;4;0;5;0;6;6;1;0;2;0;0;0;80;2015;"MUNICIPIO";"341.343";"88.457";60,6533949283791;7,75759280254758;12,9680365296804;78,655544108035;3,39545122717266;12,9680365296804
"81";"430461";82;2015;"MUNICIPIO";1828;1807;959;848;278;903;626;141;399;NA;81;2015;"MUNICIPIO";0;0,713;0;0;81;2015;"MUNICIPIO";16;0;16;0;0;2;4;4;2;2;0;0;16;"25.25";"29.5";"34.25";"29.94";"7.48";0;3;9;2;1;1;16;0;0;0;0;14;2;6;10;16;0;1;15;0;0;0;0;15;1;0;"37.75";"39";"39";"29.94";"1.32";1;0;14;1;0;0;16;7;9;13;3;0;3;2;2;4;1;0;3;0;1;0;16;0;0;0;0;13;3;16;0;0;0;0;0;15;1;"3047.5";"3222.5";"3566.25";"3297.5";"406.68";0;15;1;0;16;"9.81";"0.4";16;0;81;2015;"MUNICIPIO";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;2015;"MUNICIPIO";"205";"0";40,1002506265664;6,56455142231947;0;0;0;0
"82";"430462";83;2015;"MUNICIPIO";1770;1754;943;811;359;867;528;182;379;NA;82;2015;"MUNICIPIO";0;0,637;0;0;82;2015;"MUNICIPIO";16;0;12;0;0;6;5;2;2;0;1;0;16;"23";"26";"32";"28.06";"7.02";0;2;2;10;0;1;16;0;0;0;0;6;10;5;11;16;0;0;10;3;0;0;0;10;0;3;"38";"38";"40";"28.06";"2.36";4;1;7;0;0;0;16;3;13;12;0;0;2;2;3;0;5;0;0;0;0;0;16;0;0;0;0;9;7;16;0;0;0;0;1;15;0;"2722.5";"2947.5";"3058.75";"2900.94";"303.99";2;9;0;0;16;"9.81";"0.4";15;1;82;2015;"MUNICIPIO";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;2015;"MUNICIPIO";"1.598";"1.1";42,2163588390501;8,47457627118644;0;0;0;0
"83";"430463";84;2015;"MUNICIPIO";47148;42040;20616;21424;10368;22653;9019;5048;11535;4841;83;2015;"MUNICIPIO";0;0,743;0;0;83;2015;"MUNICIPIO";927;0;919;28;0;235;236;175;91;22;1;0;927;"21";"26";"31";"26.14";"6.62";5;23;327;408;101;63;863;41;22;1;0;232;692;390;537;927;0;58;848;13;8;0;0;848;66;13;"38";"39";"40";"26.14";"1.82";83;56;684;78;14;752;175;392;535;888;39;0;138;204;125;144;211;16;17;19;53;0;927;0;0;0;0;480;447;863;41;22;1;0;69;800;58;"2985";"3305";"3600";"3270.76";"557.35";55;729;121;14;912;"9.66";"0.72";914;7;83;2015;"MUNICIPIO";322;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;2015;"MUNICIPIO";"47.066";"24.144";80,3641092327698;6,82955798761347;0;0;0;0
"84";"430465";85;2015;"MUNICIPIO";3387;3104;1628;1476;705;1626;773;363;766;NA;84;2015;"MUNICIPIO";0;0,672;0;0;84;2015;"MUNICIPIO";37;0;37;0;0;8;7;5;5;0;0;0;37;"18";"23";"31";"24.65";"6.98";0;0;18;12;3;4;33;1;3;0;0;8;29;15;22;37;0;4;32;1;0;0;0;32;4;1;"38";"39";"39";"24.65";"1.82";7;1;26;3;0;0;37;11;26;36;1;0;5;8;7;8;5;0;1;0;3;0;37;0;0;0;0;20;17;33;1;3;0;0;1;35;1;"2940";"3270";"3415";"3209.73";"395.14";0;35;2;1;36;"9.59";"0.64";37;0;84;2015;"MUNICIPIO";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;2015;"MUNICIPIO";"0";"0";48,3028720626632;4,42869796279894;0;0;0;0
"85";"430466";86;2015;"MUNICIPIO";25382;24298;11962;12336;5999;12643;5656;2994;6422;2920;85;2015;"MUNICIPIO";0;0,637;0;0;85;2015;"MUNICIPIO";357;0;269;11;0;105;78;60;37;7;0;0;357;"21";"25";"31";"25.76";"6.64";1;19;167;138;19;9;283;25;17;0;0;105;249;163;194;357;0;43;286;7;0;2;0;286;45;7;"38";"39";"40";"25.76";"2.26";69;23;166;24;2;0;357;162;195;344;12;0;88;46;57;34;61;4;6;6;36;0;357;0;0;0;0;179;178;283;25;17;0;0;33;300;24;"2905";"3235";"3555";"3213.36";"578.14";22;263;45;14;343;"9.36";"1.01";336;1;85;2015;"MUNICIPIO";185;0;2;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;85;2015;"MUNICIPIO";"23.017";"0";55,5901588290252;7,28862973760933;22,4089635854342;124,571784490813;0;22,4089635854342
"86";"430467";87;2015;"MUNICIPIO";4275;3890;1935;1955;890;2133;867;443;1078;NA;86;2015;"MUNICIPIO";0;0,661;0;0;86;2015;"MUNICIPIO";55;0;53;1;0;19;13;10;6;2;0;0;55;"22";"25";"32";"27.07";"6.83";1;3;12;24;9;6;48;5;1;1;0;24;31;24;31;55;0;1;53;0;0;0;0;53;1;0;"38";"39";"39.75";"27.07";"1.37";8;0;45;1;0;0;55;24;31;50;5;0;6;16;4;7;15;2;3;0;1;0;55;0;0;0;0;32;23;48;5;1;1;0;1;52;2;"3092.5";"3290";"3475";"3286.75";"378.91";1;47;6;0;55;"9.6";"0.56";55;0;86;2015;"MUNICIPIO";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;2015;"MUNICIPIO";"2.561";"0";51,0204081632653;5,6140350877193;0;0;0;0
"87";"430468";88;2015;"MUNICIPIO";11289;11612;5848;5764;2848;6209;2555;1390;3075;NA;87;2015;"MUNICIPIO";0;0,746;0;0;87;2015;"MUNICIPIO";148;0;147;6;0;35;33;31;8;7;0;0;148;"20";"25.5";"31";"25.78";"6.85";0;13;57;66;4;8;125;6;17;0;0;58;90;68;80;148;0;14;132;1;1;0;0;132;15;1;"38";"39";"40";"25.78";"1.84";42;12;90;3;0;0;148;51;97;138;10;0;25;34;16;23;27;4;6;4;9;0;148;0;0;0;0;76;72;125;6;17;0;0;16;119;13;"2860";"3342.5";"3685";"3257.26";"630.84";11;109;23;0;147;"9.67";"0.54";147;1;87;2015;"MUNICIPIO";64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;2015;"MUNICIPIO";"2.749";"350";48,130081300813;5,66923553902028;0;0;0;0
"88";"430469";89;2015;"MUNICIPIO";2756;2636;1353;1283;531;1293;812;260;601;NA;88;2015;"MUNICIPIO";0;0,766;0;0;88;2015;"MUNICIPIO";35;0;35;1;0;5;10;13;4;1;0;0;35;"26";"30";"33";"28.83";"5.98";0;0;10;17;4;4;32;0;3;0;0;30;5;13;22;35;0;3;32;0;0;0;0;32;3;0;"38";"38";"39";"28.83";"1.58";4;1;29;1;0;0;35;12;23;31;3;0;5;5;4;6;9;2;0;2;1;0;35;0;0;0;0;21;14;32;0;3;0;0;3;29;3;"2787.5";"3265";"3547.5";"3193.71";"560.92";2;28;3;1;34;"9.51";"0.78";35;0;88;2015;"MUNICIPIO";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;2015;"MUNICIPIO";"3.203";"0";58,2362728785358;7,25689404934688;0;0;0;0
"89";"430470";90;2015;"MUNICIPIO";62039;59317;28280;31037;12409;31412;15496;6079;16180;8778;89;2015;"MUNICIPIO";0;0,652;0;0;89;2015;"MUNICIPIO";921;0;919;16;0;212;213;197;127;25;1;0;921;"21";"27";"33";"27.09";"6.87";0;14;219;462;165;61;855;13;51;1;1;748;172;421;500;921;0;103;783;20;9;6;0;783;118;20;"37";"38";"39";"27.09";"2.23";199;53;620;41;5;818;103;315;606;827;92;2;99;233;105;89;202;38;46;28;79;2;919;0;0;2;0;461;460;855;13;51;1;1;111;786;24;"2805";"3110";"3400";"3069.28";"547.29";70;761;62;24;894;"9.56";"0.86";912;9;89;2015;"MUNICIPIO";557;0;10;0;3;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;89;2015;"MUNICIPIO";"7.863";"0";56,9221260815822;8,97822337561856;19,5439739413681;111,248454882571;0;19,5439739413681
"90";"430471";91;2015;"MUNICIPIO";7863;7312;3798;3514;1445;3402;2465;740;1617;1157;90;2015;"MUNICIPIO";0;0,766;0;0;90;2015;"MUNICIPIO";47;0;44;2;0;5;10;14;9;1;0;0;47;"23.5";"30";"34";"28.43";"6.73";1;7;17;16;5;1;42;0;2;2;0;25;22;19;28;47;0;3;42;1;1;0;0;42;4;1;"38";"39";"40";"28.43";"2.14";5;2;36;3;0;1;46;19;28;42;3;1;7;10;5;7;9;1;2;2;2;1;46;1;0;0;0;24;23;42;0;2;2;0;6;39;2;"2915";"3180";"3597.5";"3192.09";"581.2";2;35;7;0;46;"9.52";"0.59";44;2;90;2015;"MUNICIPIO";34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;2015;"MUNICIPIO";"62.039";"0";29,0661719233148;4,3240493450337;0;0;0;0
"91";"430480";92;2015;"MUNICIPIO";27565;25192;12662;12530;4317;14704;6171;2023;7273;3234;91;2015;"MUNICIPIO";0;0,796;0;0;91;2015;"MUNICIPIO";356;0;355;2;0;59;84;103;68;19;0;0;356;"25";"30";"34";"29.69";"6.43";0;9;65;194;64;24;340;3;13;0;0;306;50;164;192;356;0;42;306;6;0;2;0;306;44;6;"38";"38";"39";"29.69";"2.05";46;18;279;10;2;120;236;87;269;339;14;3;17;119;16;45;100;3;9;11;33;3;356;0;0;0;0;178;178;340;3;13;0;0;39;307;10;"2843.75";"3130";"3436.25";"3103.25";"529.38";22;299;23;7;349;"9.31";"0.74";351;4;91;2015;"MUNICIPIO";151;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;91;2015;"MUNICIPIO";"22.398";"27.279";48,9481644438334;5,47796118265917;2,80898876404494;13,7494843943352;0;2,80898876404494
"92";"430485";93;2015;"MUNICIPIO";1574;1607;834;773;277;823;507;133;376;NA;92;2015;"MUNICIPIO";0;0,739;0;0;92;2015;"MUNICIPIO";10;0;10;1;0;0;2;4;0;2;0;0;10;"28.25";"32.5";"33.75";"30.5";"8.36";0;2;2;4;1;1;10;0;0;0;0;8;2;3;7;10;0;1;9;0;0;0;0;9;1;0;"38";"39";"39";"30.5";"1.43";3;3;4;0;0;0;10;5;5;10;0;0;1;2;2;1;3;0;0;0;1;0;10;0;0;0;0;7;3;10;0;0;0;0;1;8;1;"3215";"3422.5";"3535";"3354.5";"457.9";1;8;1;0;10;"9.5";"0.53";10;0;92;2015;"MUNICIPIO";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;2015;"MUNICIPIO";"0";"0";26,5957446808511;4,44726810673443;0;0;0;0
"93";"430490";94;2015;"MUNICIPIO";9038;8651;4243;4408;1426;4461;2764;753;2175;NA;93;2015;"MUNICIPIO";0;0,785;0;0;93;2015;"MUNICIPIO";77;0;74;0;0;10;19;25;11;2;1;0;77;"25";"30";"34";"28.99";"6.41";0;4;13;36;22;2;65;4;7;0;0;71;6;39;38;77;0;10;64;2;1;0;0;64;11;2;"38";"39";"40";"28.99";"2.04";8;2;66;1;0;50;27;24;53;73;3;0;15;15;12;5;17;1;0;2;9;0;77;0;0;0;0;42;35;65;4;7;0;0;9;67;1;"2840";"3315";"3525";"3184.55";"490.62";4;64;7;0;74;"9";"1.15";76;0;93;2015;"MUNICIPIO";67;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;93;2015;"MUNICIPIO";"5.516";"0";35,4022988505747;7,4131445009958;12,987012987013;45,9770114942529;0;12,987012987013
"94";"430495";95;2015;"MUNICIPIO";3163;3007;1517;1490;662;1447;898;312;712;NA;94;2015;"MUNICIPIO";0;0,703;0;0;94;2015;"MUNICIPIO";26;0;22;0;0;9;10;1;1;1;0;0;26;"23";"24.5";"28";"25.58";"5.52";0;3;5;12;2;2;23;1;0;0;1;16;8;13;13;26;0;2;18;2;1;0;0;18;3;2;"37";"38";"39";"25.58";"2.91";5;0;16;4;0;0;26;6;20;21;0;0;3;4;1;1;6;0;0;0;3;0;26;0;0;0;0;15;11;23;1;0;0;1;5;20;1;"2801.25";"3220";"3738.75";"3095.88";"770.53";3;15;4;0;26;"9.69";"0.55";25;0;94;2015;"MUNICIPIO";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;2015;"MUNICIPIO";"1.716";"0";36,5168539325843;7,58773316471704;0;0;0;0
"95";"430500";96;2015;"MUNICIPIO";9402;9323;4590;4733;1665;4538;3120;798;2295;1640;95;2015;"MUNICIPIO";0;0,739;0;0;95;2015;"MUNICIPIO";83;0;83;3;0;15;21;18;15;2;0;0;83;"22.5";"28";"33";"27.86";"6.82";0;1;26;36;13;7;75;1;7;0;0;65;18;30;53;83;0;6;77;0;0;0;0;77;6;0;"38";"39";"39";"27.86";"1.47";10;3;66;3;0;1;82;34;49;82;1;0;5;20;8;17;26;0;1;0;6;0;82;1;0;0;0;46;37;75;1;7;0;0;8;74;1;"2945";"3240";"3472.5";"3179.27";"433.13";6;73;4;1;82;"9.39";"0.68";83;0;95;2015;"MUNICIPIO";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;2015;"MUNICIPIO";"6.321";"520";36,1655773420479;9,57243139757498;0;0;0;0
"96";"430510";97;2015;"MUNICIPIO";474853;435564;213612;221952;87527;251729;96308;43178;125681;53093;96;2015;"MUNICIPIO";0;0,782;0;0;96;2015;"MUNICIPIO";6498;0;6449;81;0;1391;1514;1625;966;222;12;0;6498;"23";"28";"33";"27.98";"6.63";14;138;1704;2676;1290;676;5593;187;703;2;4;3142;3320;2886;3612;6496;2;808;5517;63;62;40;2;5517;912;63;"37";"38";"39";"27.98";"2.18";1053;190;4972;160;33;6432;66;2070;4428;6110;355;19;358;1989;246;1185;1506;149;146;193;688;19;6477;1;1;19;0;3357;3139;5593;187;703;2;4;746;5540;212;"2830";"3150";"3445";"3102.26";"565.11";434;5327;510;150;6333;"9.24";"0.83";6397;27;96;2015;"MUNICIPIO";2691;1;42;2;2;0;0;56;1;4;0;0;0;1;1;0;0;0;0;0;0;96;2015;"MUNICIPIO";"467.73";"432.496";51,7023257294261;5,66701695050889;8,61803631886734;44,5572520906104;0,397252601011405;8,61803631886734
"97";"430511";98;2015;"MUNICIPIO";3026;2965;1541;1424;486;1495;984;240;679;505;97;2015;"MUNICIPIO";0;0,701;0;0;97;2015;"MUNICIPIO";20;0;20;0;0;5;4;6;2;0;0;0;20;"22.75";"28";"32";"27.3";"6.32";0;2;7;6;2;3;19;0;1;0;0;16;3;10;10;20;0;3;17;0;0;0;0;17;3;0;"38";"38";"39.25";"27.3";"1.94";0;0;17;2;1;0;20;9;11;19;1;0;2;6;6;0;2;1;0;0;3;0;20;0;0;0;0;15;5;19;0;1;0;0;2;18;0;"2698.75";"3282.5";"3485";"3153.75";"496.04";3;14;3;2;18;"9.1";"0.91";20;0;97;2015;"MUNICIPIO";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;2015;"MUNICIPIO";"2.5";"0";29,4550810014728;6,60938532716457;0;0;0;0
"98";"430512";99;2015;"MUNICIPIO";6481;6402;3213;3189;1285;3048;2069;633;1508;NA;98;2015;"MUNICIPIO";0;0,649;0;0;98;2015;"MUNICIPIO";53;0;43;2;0;15;11;10;4;3;0;0;53;"20";"25";"31";"26.26";"7.31";0;1;27;22;1;2;43;3;1;0;0;19;34;24;29;53;0;2;43;3;1;0;0;43;3;3;"38";"39";"40";"26.26";"1.88";9;0;32;2;0;0;53;25;28;51;2;0;13;7;10;3;12;1;1;0;3;0;53;0;0;0;0;28;25;43;3;1;0;0;3;47;3;"2950";"3360";"3745";"3324.91";"488.71";1;38;10;2;50;"9.52";"0.75";49;0;98;2015;"MUNICIPIO";61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;2015;"MUNICIPIO";"3.659";"0";35,1458885941645;9,41212775806203;0;0;0;0
"99";"430513";100;2015;"MUNICIPIO";4668;4454;2225;2229;807;2228;1419;420;1066;743;99;2015;"MUNICIPIO";0;0,661;0;0;99;2015;"MUNICIPIO";38;0;37;1;0;1;9;11;8;0;0;0;38;"23.75";"29.5";"33.75";"28.18";"6.85";0;1;19;11;5;2;33;2;3;0;0;14;24;16;22;38;0;1;33;1;3;0;0;33;4;1;"38";"39";"40";"28.18";"2.77";5;5;23;4;0;0;38;19;19;38;0;0;8;8;6;1;11;0;0;2;2;0;38;0;0;0;0;23;15;33;2;3;0;0;3;35;0;"3010";"3277.5";"3437.5";"3176.55";"610.29";0;34;2;0;38;"9.53";"0.6";37;1;99;2015;"MUNICIPIO";46;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;99;2015;"MUNICIPIO";"3.8";"0";35,6472795497186;9,85432733504713;26,3157894736842;93,8086303939963;0;26,3157894736842
"100";"430515";101;2015;"MUNICIPIO";2450;2417;1209;1208;522;1152;743;252;583;NA;100;2015;"MUNICIPIO";0;0,674;0;0;100;2015;"MUNICIPIO";28;0;26;0;0;10;7;5;2;1;0;0;28;"21.75";"27";"30";"26.25";"6.02";0;3;12;9;2;2;27;0;0;0;0;15;13;16;12;28;0;4;24;0;0;0;0;24;4;0;"38";"38.5";"39";"26.25";"1.69";2;1;23;1;0;0;28;0;28;27;1;0;4;9;0;5;5;1;0;0;4;0;28;0;0;0;0;16;12;27;0;0;0;0;4;24;0;"2835";"3147.5";"3360";"3065";"383.2";2;25;1;0;28;"9.36";"0.49";28;0;100;2015;"MUNICIPIO";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;2015;"MUNICIPIO";"0";"0";48,0274442538593;7,75510204081633;0;0;0;0
"101";"430517";102;2015;"MUNICIPIO";11263;10268;5355;4913;2603;5517;2148;1281;2653;NA;101;2015;"MUNICIPIO";0;0,66;0;0;101;2015;"MUNICIPIO";104;0;104;5;0;26;26;18;11;4;1;0;104;"21";"26";"31";"26.58";"7.1";1;12;51;29;8;3;84;6;14;0;0;42;62;36;68;104;0;8;93;1;2;0;0;93;10;1;"38";"39";"39.25";"26.58";"1.99";18;7;75;2;0;0;104;53;51;95;8;1;10;23;16;18;19;1;7;1;8;1;103;1;0;0;0;58;46;84;6;14;0;0;12;88;4;"2893.75";"3192.5";"3530";"3160.74";"567.3";6;87;10;2;102;"9.39";"0.69";103;1;101;2015;"MUNICIPIO";64;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;101;2015;"MUNICIPIO";"1.807";"0";39,2009046362608;5,68232264938294;9,61538461538462;37,6931775348662;0;9,61538461538462
"102";"430520";103;2015;"MUNICIPIO";13976;13289;6617;6672;2515;6989;3785;1193;3415;2064;102;2015;"MUNICIPIO";0;0,764;0;0;102;2015;"MUNICIPIO";140;0;132;1;0;26;40;27;23;6;0;0;140;"22";"28";"33";"28.1";"6.77";0;4;30;67;31;8;109;0;31;0;0;106;34;56;84;140;0;16;119;3;0;0;0;119;16;3;"37";"38";"39";"28.1";"1.7";12;3;112;5;1;98;42;26;114;130;9;0;2;46;5;26;37;2;5;4;11;0;139;0;0;1;0;68;72;109;0;31;0;0;14;122;4;"2955";"3165";"3426.25";"3142.5";"493.34";13;108;12;0;140;"9.7";"0.49";139;1;102;2015;"MUNICIPIO";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;2015;"MUNICIPIO";"11.672";"0";40,99560761347;6,43961076130509;0;0;0;0
"103";"430530";104;2015;"MUNICIPIO";9613;9377;4593;4784;1541;4897;2939;762;2445;NA;103;2015;"MUNICIPIO";0;0,757;0;0;103;2015;"MUNICIPIO";73;0;70;0;0;18;16;25;9;2;0;0;73;"24";"29";"33";"28.48";"5.67";0;0;13;44;15;1;69;3;1;0;0;63;10;38;35;73;0;6;65;2;0;0;0;65;6;2;"37";"38";"39";"28.48";"1.41";6;3;55;2;0;0;73;8;65;64;7;0;9;19;3;6;22;4;3;0;5;0;73;0;0;0;0;46;27;69;3;1;0;0;7;65;1;"2775";"2995";"3215";"2992.53";"399.17";6;66;1;1;72;"9.03";"0.69";73;0;103;2015;"MUNICIPIO";69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;103;2015;"MUNICIPIO";"5.379";"0";29,8568507157464;7,17778008946219;0;0;0;0
"104";"430535";105;2015;"MUNICIPIO";38281;35320;19533;15787;6988;20750;7582;3429;8358;NA;104;2015;"MUNICIPIO";0;0,747;0;0;104;2015;"MUNICIPIO";392;0;388;5;0;88;100;83;50;12;0;0;392;"22";"27";"33";"27.18";"6.62";0;13;103;197;48;31;353;10;28;0;1;151;240;174;218;392;0;41;338;10;1;1;0;338;43;10;"38";"39";"40";"27.18";"1.92";63;14;275;21;5;4;388;125;267;384;8;0;33;122;35;67;83;1;6;7;37;0;389;2;0;1;0;208;184;353;10;28;0;1;37;327;28;"2945";"3240";"3551.25";"3219.93";"561.62";16;318;50;3;388;"9.61";"0.58";391;1;104;2015;"MUNICIPIO";234;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;104;2015;"MUNICIPIO";"38.281";"0";46,9011725293132;6,11269298085212;2,55102040816327;11,9645848289064;0;2,55102040816327
"105";"430537";106;2015;"MUNICIPIO";3505;3471;1728;1743;943;1640;888;471;821;NA;105;2015;"MUNICIPIO";0;0,62;0;0;105;2015;"MUNICIPIO";29;0;29;2;0;6;8;7;1;0;0;0;29;"20";"26";"31";"25.21";"6.56";0;6;14;9;0;0;10;0;0;19;0;15;14;14;15;29;0;2;25;1;1;0;0;25;3;1;"38";"39";"40";"25.21";"2.22";6;2;20;1;0;0;29;14;15;18;8;0;4;3;2;2;5;5;3;0;2;0;29;0;0;0;0;14;15;10;0;0;19;0;3;22;4;"3060";"3355";"3715";"3329.83";"510.82";1;22;6;0;29;"9.79";"0.49";29;0;105;2015;"MUNICIPIO";25;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;105;2015;"MUNICIPIO";"1.55";"0";35,3227771010962;7,13266761768902;34,4827586206897;121,802679658952;0;34,4827586206897
"106";"430540";107;2015;"MUNICIPIO";4061;4044;1975;2069;864;2030;1150;457;1014;598;106;2015;"MUNICIPIO";0;0,732;0;0;106;2015;"MUNICIPIO";56;0;56;3;0;14;15;13;4;3;0;0;56;"21.75";"26";"32";"26.73";"6.96";0;1;16;28;7;4;42;1;13;0;0;41;15;20;36;56;0;4;51;0;1;0;0;51;5;0;"38";"39";"39";"26.73";"1.79";11;2;41;0;0;45;11;23;33;51;5;0;12;4;9;8;14;3;2;0;4;0;56;0;0;0;0;26;30;42;1;13;0;0;7;48;1;"2740";"3115";"3446.25";"3066.3";"557.28";8;44;4;2;54;"8.86";"0.94";56;0;106;2015;"MUNICIPIO";28;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;106;2015;"MUNICIPIO";"2.94";"0";55,2268244575937;6,89485348436346;17,8571428571429;98,6193293885602;0;17,8571428571429
