"";"CODMUNRES";"X.x";"ANO.x";"NIVEL.x";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50";"X.y";"ANO.y";"NIVEL.y";"IDHM_A";"IDHM_CA";"IDHM_CA_M";"IDHM_CA_F";"X.x";"ANO.x";"NIVEL.x";"TN";"TNRC";"TNRCR";"TGI_15";"TGI_15_19";"TGI_20_24";"TGI_25_29";"TGI_30_34";"TGI_35_39";"TGI_40_44";"TGI_45_49";"TGI_50";"TGIF";"IM_P25";"IM_P50";"IM_P75";"IM_MD.x";"IM_DP";"EM_S";"EM_FI";"EM_FII";"EM_M";"EM_SI";"EM_SC";"TGRC_B";"TGRC_PT";"TGRC_PD";"TGRC_I";"TGRC_A";"TGCC";"TGSC";"TGNPRI";"TGPRI";"TGG";"NA.";"TGD_32_36";"TGD_37_41";"TGD_42";"TGD_28_31";"TGD_22_27";"TGD_22";"TGD_AT";"TGD_PRT";"TGD_PST";"DG_P25";"DG_P50";"DG_P75";"IM_MD.y";"DG_DP";"TKC_ID";"TKC_AD";"TKC_MAD";"TKC_IT";"TGRC_NR";"TGPRG_N";"TGPRG_S";"TPV";"TPC";"TRAP_C";"TRAP_P";"TRAP_T";"TGROB_1";"TGROB_2";"TGROB_3";"TGROB_4";"TGROB_5";"TGROB_6";"TGROB_7";"TGROB_8";"TGROB_10";"TGROB_9";"TNLOC_H";"TNLOC_O";"TNLOC_ES";"TNLOC_D";"TNLOC_AI";"TRS_M";"TRS_F";"TRRC_B";"TRRC_PT";"TRRC_PD";"TRRC_I";"TRRC_A";"TRP_BP";"TRP_N";"TRP_M";"PESO_P25";"PESO_P50";"PESO_P75";"PESO";"PESO_DP";"TRPIG_P";"TRPIG_A";"TRPIG_G";"TRAPG5_B";"TRAPG5_N";"APGAR5_MD";"APGAR5_DP";"TRSAC";"TRAC";"X.y";"ANO.y";"NIVEL.y";"TO";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A";"TO_MT";"TO_MT_DG";"TO_MT_43";"TO_MT_PT";"TO_MT_42";"TO_MT_AB";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_EM";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_ESC";"TO_MT_P_ESI";"TO_MT_P_ES";"X";"ANO";"NIVEL";"POPR_RA";"POPR_RE";"TFG";"TMG";"RMM";"TMM";"TMM_P";"TMI"
"11";"430057";12;2015;"MUNICIPIO";3025;2917;1500;1417;465;1577;875;214;743;NA;11;2015;"MUNICIPIO";0;0,734;0;0;11;2015;"MUNICIPIO";32;0;30;0;0;5;8;4;10;0;0;0;32;"20.75";"28.5";"35";"28.12";"7.11";0;0;12;16;3;1;30;1;1;0;0;15;16;17;15;32;0;5;26;1;0;0;0;26;5;1;"37.75";"38";"39";"28.12";"2.33";4;1;26;0;0;0;32;7;25;30;2;0;5;9;2;2;7;0;0;4;3;0;32;0;0;0;0;18;14;30;1;1;0;0;8;21;3;"2537.5";"3005";"3397.5";"2947.81";"703.98";3;21;3;2;30;"9.19";"1.35";29;2;11;2015;"MUNICIPIO";18;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2015;"MUNICIPIO";"3";"0";43,0686406460296;5,9504132231405;31,25;134,589502018843;0;31,25
"12";"430060";13;2015;"MUNICIPIO";206561;195673;95080;100593;51347;107097;37229;25167;54594;20832;12;2015;"MUNICIPIO";0;0,699;0;0;12;2015;"MUNICIPIO";3505;0;3481;65;0;1018;819;641;319;70;4;0;3505;"21";"25";"31";"25.83";"6.46";3;122;1445;1628;152;151;2351;457;691;1;3;937;2565;1377;2128;3505;0;362;3080;10;32;13;0;3080;407;10;"38";"39";"40";"25.83";"2.08";1408;164;1635;172;90;2424;1081;2246;1259;3352;135;14;533;626;762;494;554;46;67;88;311;14;3489;2;2;12;0;1838;1666;2352;457;691;1;3;331;2992;182;"2885";"3210";"3545";"3183.09";"565.79";202;2847;349;90;3404;"9.25";"0.85";3460;45;12;2015;"MUNICIPIO";1556;2;14;9;4;0;0;38;3;3;0;0;0;3;3;1;0;0;0;0;0;12;2015;"MUNICIPIO";"206.561";"39.668";64,2011942704327;7,53288374862631;10,8416547788873;69,6047184672308;2,80119891313482;10,8416547788873
"13";"430063";14;2015;"MUNICIPIO";6778;6353;3281;3072;1481;3347;1525;716;1633;723;13;2015;"MUNICIPIO";0;0,624;0;0;13;2015;"MUNICIPIO";57;0;56;1;0;21;10;8;6;2;0;0;57;"21";"23";"30";"25.35";"6.59";0;5;28;17;7;0;44;5;8;0;0;19;38;24;33;57;0;6;50;0;1;0;0;50;7;0;"38";"39";"40";"25.35";"1.82";9;6;35;5;2;1;56;24;33;54;3;0;10;8;9;8;10;3;0;6;3;0;55;2;0;0;0;28;29;44;5;8;0;0;6;49;2;"3030";"3320";"3620";"3253.95";"535.36";3;44;4;1;55;"9.5";"0.76";56;1;13;2015;"MUNICIPIO";42;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2015;"MUNICIPIO";"1.664";"0";34,9050826699326;6,196518146946;17,5438596491228;61,2369871402327;0;17,5438596491228
"14";"430064";15;2015;"MUNICIPIO";7569;7323;3732;3591;1803;3896;1624;894;1890;807;14;2015;"MUNICIPIO";0;0,682;0;0;14;2015;"MUNICIPIO";94;0;93;2;0;20;30;19;6;4;0;0;94;"22.25";"26";"30";"26.6";"6.49";2;5;36;32;15;4;88;2;4;0;0;60;33;38;56;94;0;10;81;3;0;0;0;81;10;3;"38";"38";"39";"26.6";"1.53";13;10;64;6;0;0;94;22;72;80;12;2;8;19;10;13;24;8;2;2;6;2;94;0;0;0;0;44;50;88;2;4;0;0;10;83;1;"2852.5";"3125";"3410";"3114.71";"467.69";4;83;5;1;93;"9.67";"0.63";92;1;14;2015;"MUNICIPIO";50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2015;"MUNICIPIO";"4.328";"0";49,7354497354497;6,60589245607081;0;0;0;0
"15";"430066";16;2015;"MUNICIPIO";1293;1216;620;596;241;587;388;126;273;NA;15;2015;"MUNICIPIO";0;0,72;0;0;15;2015;"MUNICIPIO";14;0;14;0;0;2;5;4;1;1;0;0;14;"26";"29";"32";"28.86";"5.63";0;0;5;8;0;1;11;2;1;0;0;4;10;5;9;14;0;1;12;1;0;0;0;12;1;1;"38";"39";"39.75";"28.86";"1.77";4;2;8;0;0;0;14;1;13;12;2;0;2;2;1;2;4;1;1;0;1;0;14;0;0;0;0;10;4;11;2;1;0;0;0;10;4;"3035";"3322.5";"3903.75";"3494.29";"576.07";0;10;4;0;14;"9.71";"0.47";14;0;15;2015;"MUNICIPIO";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2015;"MUNICIPIO";"0";"0";51,2820512820513;6,96055684454756;0;0;0;0
"16";"430070";17;2015;"MUNICIPIO";6222;6073;3025;3048;952;3030;2091;492;1463;NA;16;2015;"MUNICIPIO";0;0,74;0;0;16;2015;"MUNICIPIO";60;0;60;1;0;12;13;17;9;4;0;0;60;"22";"29.5";"34";"28.9";"6.91";0;5;16;29;7;3;55;0;5;0;0;30;30;31;29;60;0;6;53;1;0;0;0;53;6;1;"37";"38";"39";"28.9";"1.49";10;1;49;0;0;31;29;10;50;43;11;0;4;15;3;3;15;4;3;4;3;0;60;0;0;0;0;29;31;55;0;5;0;0;5;49;6;"2900";"3240";"3555";"3216.87";"571.2";3;44;9;0;60;"9.52";"0.57";60;0;16;2015;"MUNICIPIO";42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2015;"MUNICIPIO";"3.3";"0";41,0116199589884;6,75024108003857;0;0;0;0
"17";"430080";18;2015;"MUNICIPIO";13285;12833;6405;6428;2277;6783;3773;1076;3367;1985;17;2015;"MUNICIPIO";0;0,758;0;0;17;2015;"MUNICIPIO";149;0;147;1;0;33;30;29;31;1;0;0;149;"21";"27";"34";"27.23";"6.94";0;4;45;71;23;6;119;6;22;1;0;115;34;64;85;149;0;13;126;9;0;0;0;126;13;9;"38";"38";"39";"27.23";"1.88";21;9;113;6;0;93;56;19;130;143;6;0;3;55;11;12;51;2;0;4;11;0;148;0;0;1;0;76;73;119;6;22;1;0;12;137;0;"2940";"3120";"3335";"3114.67";"396.5";10;125;5;3;146;"9.35";"0.64";149;0;17;2015;"MUNICIPIO";90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;2015;"MUNICIPIO";"10.119";"0";44,2530442530443;6,77455777192322;0;0;0;0
"18";"430085";19;2015;"MUNICIPIO";3762;3693;1854;1839;778;1716;1199;385;850;NA;18;2015;"MUNICIPIO";0;0,691;0;0;18;2015;"MUNICIPIO";45;0;44;1;0;8;18;6;1;1;1;0;45;"21";"27";"29";"25.56";"6.33";0;0;21;19;2;3;35;4;6;0;0;11;34;17;28;45;0;1;44;0;0;0;0;44;1;0;"38";"39";"40";"25.56";"0.97";10;2;33;0;0;0;45;26;19;45;0;0;7;10;6;13;6;0;0;2;1;0;45;0;0;0;0;29;16;35;4;6;0;0;1;43;1;"3040";"3370";"3460";"3267.4";"326.09";1;41;1;1;43;"9.52";"0.7";45;0;18;2015;"MUNICIPIO";22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2015;"MUNICIPIO";"3.533";"0";52,9411764705882;5,84795321637427;0;0;0;0
"19";"430087";20;2015;"MUNICIPIO";5301;4864;2456;2408;1151;2662;1051;563;1292;NA;19;2015;"MUNICIPIO";0;0,679;0;0;19;2015;"MUNICIPIO";93;0;92;2;0;22;23;20;6;4;0;0;93;"20";"26";"30";"26";"6.61";0;2;37;46;4;4;80;4;9;0;0;45;47;42;51;93;0;9;81;3;0;0;0;81;9;3;"38";"39";"39";"26";"1.67";28;7;54;3;0;0;93;42;51;87;5;0;11;27;8;12;22;3;2;2;5;0;93;0;0;0;0;47;46;80;4;9;0;0;9;82;2;"2900";"3190";"3465";"3145.16";"522.13";5;79;6;1;91;"9.3";"0.66";81;2;19;2015;"MUNICIPIO";42;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;2015;"MUNICIPIO";"0";"0";71,9814241486068;7,92303338992643;10,752688172043;77,3993808049536;0;10,752688172043
"20";"430090";21;2015;"MUNICIPIO";6641;6565;3340;3225;1041;3255;2269;484;1576;NA;20;2015;"MUNICIPIO";0;0,772;0;0;20;2015;"MUNICIPIO";60;0;58;1;0;10;17;17;9;4;0;0;60;"26";"29.5";"32.25";"29.17";"5.92";0;0;7;31;19;3;56;3;1;0;0;45;14;25;35;60;0;5;49;2;3;0;0;49;8;2;"38";"39";"39";"29.17";"2.31";2;4;51;2;0;30;30;18;42;54;6;0;7;10;9;7;12;2;2;4;6;0;60;0;0;0;0;35;25;56;3;1;0;0;7;50;3;"2865";"3272.5";"3547.5";"3194.55";"586.52";4;44;7;0;60;"9.73";"0.48";59;0;20;2015;"MUNICIPIO";40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2015;"MUNICIPIO";"3.226";"0";38,0710659898477;6,02318927872308;0;0;0;0
